Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,CB,Commuter Bus,PT,,0,,0,,0,,0,,0,,0,,60116462,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,DR,Demand Response,PT,366,60648346,,8277690,,909012,,26387600,,0,,96222648,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,DR,Demand Response,TX,79,3517992,,490437,,49229,,1479958,,0,,5537616,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,FB,Ferryboat,DO,2,4717513,,1587187,,135577,,3716439,,0,,10156716,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,LR,Light Rail,PT,,0,,0,,0,,0,,0,,0,,151135438,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,MB,Bus,DO,739,390117232,,147419373,,42855392,,184180301,,0,,764572298,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,MB,Bus,PT,58,10162308,,2610284,,1352038,,5209649,,0,,19334279,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,SR,Streetcar Rail,DO,10,7084470,,2766166,,1312691,,3685061,,0,,14848388,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,TB,Trolleybus,DO,107,42949696,,11114958,,12240983,,21573271,,0,,87878908,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,VP,Vanpool,DO,991,1688793,,1824972,,101778,,7195241,,0,,10810784,,0,
