date,tmax_f,tmin_f,prcp_in
2025-04-01,58,41,0.08
2025-04-02,49,37,0.0
2025-04-03,73,44,0.05
2025-04-04,73,57,0.09
2025-04-05,59,43,0.19
2025-04-06,56,43,0.76
2025-04-07,50,39,0.13
2025-04-08,45,35,0.0
2025-04-09,49,31,0.0
2025-04-10,51,40,0.01
2025-04-11,46,40,0.41
2025-04-12,40,36,0.63
2025-04-13,58,39,0.0
2025-04-14,66,48,0.07
2025-04-15,69,48,0.01
2025-04-16,50,44,0.0
2025-04-17,64,42,0.0
2025-04-18,68,48,0.0
2025-04-19,85,54,0.0
2025-04-20,73,55,0.0
2025-04-21,57,50,0.0
2025-04-22,82,53,0.0
2025-04-23,76,54,0.0
2025-04-24,77,56,0.0
2025-04-25,77,60,0.0
2025-04-26,74,53,0.82
2025-04-27,59,48,0.0
2025-04-28,76,51,0.0
2025-04-29,79,56,0.0
2025-04-30,73,59,0.0
2025-05-01,71,52,0.0
2025-05-02,84,57,0.0
2025-05-03,85,63,0.95
2025-05-04,69,60,0.15
2025-05-05,61,57,0.74
2025-05-06,64,57,0.24
2025-05-07,74,55,0.02
2025-05-08,78,60,0.0
2025-05-09,60,51,0.69
2025-05-10,72,50,0.0
2025-05-11,77,58,0.0
2025-05-12,72,57,0.0
2025-05-13,69,58,0.16
2025-05-14,62,56,1.22
2025-05-15,69,59,0.0
2025-05-16,72,61,0.11
2025-05-17,82,63,0.0
2025-05-18,73,61,0.0
2025-05-19,69,51,0.0
2025-05-20,67,49,0.0
2025-05-21,59,49,0.09
2025-05-22,51,48,0.9
2025-05-23,63,47,0.26
2025-05-24,64,48,0.0
2025-05-25,66,52,0.0
2025-05-26,73,52,0.0
2025-05-27,74,57,0.0
2025-05-28,65,52,0.49
2025-05-29,67,55,0.1
2025-05-30,75,62,0.0
2025-05-31,67,53,0.46
